Code,Country,Region,Subregion,Indicator,Dimension,Category,Sex,Age,Year,Unit,Value,Source
AGO,Angola,Africa,Sub-Saharan Africa,Detected trafficking victims,by form of exploitation,Forced labour,Female,0 to 17 years,2017,Counts,3,GLOTIP
AGO,Angola,Africa,Sub-Saharan Africa,Detected trafficking victims,by form of exploitation,Forced labour,Female,18 years or over,2017,Counts,3,GLOTIP
AGO,Angola,Africa,Sub-Saharan Africa,Detected trafficking victims,by form of exploitation,Forced labour,Male,0 to 17 years,2017,Counts,12,GLOTIP
AGO,Angola,Africa,Sub-Saharan Africa,Detected trafficking victims,by form of exploitation,Forced labour,Male,18 years or over,2017,Counts,5,GLOTIP
AGO,Angola,Africa,Sub-Saharan Africa,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,0 to 17 years,2017,Counts,3,GLOTIP
AGO,Angola,Africa,Sub-Saharan Africa,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,18 years or over,2017,Counts,3,GLOTIP
AGO,Angola,Africa,Sub-Saharan Africa,Detected trafficking victims,by form of exploitation,Sexual exploitation,Male,0 to 17 years,2017,Counts,3,GLOTIP
AGO,Angola,Africa,Sub-Saharan Africa,Detected trafficking victims,by form of exploitation,Sexual exploitation,Male,18 years or over,2017,Counts,3,GLOTIP
AGO,Angola,Africa,Sub-Saharan Africa,Detected trafficking victims,by form of exploitation,Forced labour,Female,0 to 17 years,2018,Counts,3,GLOTIP
AGO,Angola,Africa,Sub-Saharan Africa,Detected trafficking victims,by form of exploitation,Forced labour,Female,18 years or over,2018,Counts,3,GLOTIP
AGO,Angola,Africa,Sub-Saharan Africa,Detected trafficking victims,by form of exploitation,Forced labour,Male,0 to 17 years,2018,Counts,3,GLOTIP
AGO,Angola,Africa,Sub-Saharan Africa,Detected trafficking victims,by form of exploitation,Forced labour,Male,18 years or over,2018,Counts,3,GLOTIP
AGO,Angola,Africa,Sub-Saharan Africa,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,0 to 17 years,2018,Counts,3,GLOTIP
AGO,Angola,Africa,Sub-Saharan Africa,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,18 years or over,2018,Counts,3,GLOTIP
AGO,Angola,Africa,Sub-Saharan Africa,Detected trafficking victims,by form of exploitation,Sexual exploitation,Male,0 to 17 years,2018,Counts,3,GLOTIP
AGO,Angola,Africa,Sub-Saharan Africa,Detected trafficking victims,by form of exploitation,Sexual exploitation,Male,18 years or over,2018,Counts,3,GLOTIP
AGO,Angola,Africa,Sub-Saharan Africa,Detected trafficking victims,by form of exploitation,Forced labour,Female,0 to 17 years,2019,Counts,3,GLOTIP
AGO,Angola,Africa,Sub-Saharan Africa,Detected trafficking victims,by form of exploitation,Forced labour,Female,18 years or over,2019,Counts,3,GLOTIP
AGO,Angola,Africa,Sub-Saharan Africa,Detected trafficking victims,by form of exploitation,Forced labour,Male,0 to 17 years,2019,Counts,5,GLOTIP
AGO,Angola,Africa,Sub-Saharan Africa,Detected trafficking victims,by form of exploitation,Forced labour,Male,18 years or over,2019,Counts,3,GLOTIP
AGO,Angola,Africa,Sub-Saharan Africa,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,0 to 17 years,2019,Counts,3,GLOTIP
AGO,Angola,Africa,Sub-Saharan Africa,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,18 years or over,2019,Counts,3,GLOTIP
AGO,Angola,Africa,Sub-Saharan Africa,Detected trafficking victims,by form of exploitation,Sexual exploitation,Male,0 to 17 years,2019,Counts,3,GLOTIP
AGO,Angola,Africa,Sub-Saharan Africa,Detected trafficking victims,by form of exploitation,Sexual exploitation,Male,18 years or over,2019,Counts,3,GLOTIP
AGO,Angola,Africa,Sub-Saharan Africa,Detected trafficking victims,by form of exploitation,Forced labour,Female,0 to 17 years,2020,Counts,3,GLOTIP
AGO,Angola,Africa,Sub-Saharan Africa,Detected trafficking victims,by form of exploitation,Forced labour,Female,18 years or over,2020,Counts,3,GLOTIP
AGO,Angola,Africa,Sub-Saharan Africa,Detected trafficking victims,by form of exploitation,Forced labour,Male,0 to 17 years,2020,Counts,3,GLOTIP
AGO,Angola,Africa,Sub-Saharan Africa,Detected trafficking victims,by form of exploitation,Forced labour,Male,18 years or over,2020,Counts,3,GLOTIP
AGO,Angola,Africa,Sub-Saharan Africa,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,0 to 17 years,2020,Counts,8,GLOTIP
AGO,Angola,Africa,Sub-Saharan Africa,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,18 years or over,2020,Counts,3,GLOTIP
AGO,Angola,Africa,Sub-Saharan Africa,Detected trafficking victims,by form of exploitation,Sexual exploitation,Male,0 to 17 years,2020,Counts,3,GLOTIP
AGO,Angola,Africa,Sub-Saharan Africa,Detected trafficking victims,by form of exploitation,Sexual exploitation,Male,18 years or over,2020,Counts,3,GLOTIP
ALB,Albania,Europe,Southern Europe,Detected trafficking victims,by form of exploitation,Forced labour,Female,0 to 17 years,2017,Counts,3,GLOTIP
ALB,Albania,Europe,Southern Europe,Detected trafficking victims,by form of exploitation,Forced labour,Female,18 years or over,2017,Counts,3,GLOTIP
ALB,Albania,Europe,Southern Europe,Detected trafficking victims,by form of exploitation,Forced labour,Male,0 to 17 years,2017,Counts,3,GLOTIP
ALB,Albania,Europe,Southern Europe,Detected trafficking victims,by form of exploitation,Forced labour,Male,18 years or over,2017,Counts,3,GLOTIP
ALB,Albania,Europe,Southern Europe,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,0 to 17 years,2017,Counts,16,GLOTIP
ALB,Albania,Europe,Southern Europe,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,18 years or over,2017,Counts,21,GLOTIP
ALB,Albania,Europe,Southern Europe,Detected trafficking victims,by form of exploitation,Sexual exploitation,Male,0 to 17 years,2017,Counts,3,GLOTIP
ALB,Albania,Europe,Southern Europe,Detected trafficking victims,by form of exploitation,Sexual exploitation,Male,18 years or over,2017,Counts,3,GLOTIP
ALB,Albania,Europe,Southern Europe,Detected trafficking victims,by form of exploitation,Forced labour,Female,0 to 17 years,2018,Counts,3,GLOTIP
ALB,Albania,Europe,Southern Europe,Detected trafficking victims,by form of exploitation,Forced labour,Female,18 years or over,2018,Counts,3,GLOTIP
ALB,Albania,Europe,Southern Europe,Detected trafficking victims,by form of exploitation,Forced labour,Male,0 to 17 years,2018,Counts,3,GLOTIP
ALB,Albania,Europe,Southern Europe,Detected trafficking victims,by form of exploitation,Forced labour,Male,18 years or over,2018,Counts,3,GLOTIP
ALB,Albania,Europe,Southern Europe,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,0 to 17 years,2018,Counts,16,GLOTIP
ALB,Albania,Europe,Southern Europe,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,18 years or over,2018,Counts,21,GLOTIP
ALB,Albania,Europe,Southern Europe,Detected trafficking victims,by form of exploitation,Sexual exploitation,Male,0 to 17 years,2018,Counts,3,GLOTIP
ALB,Albania,Europe,Southern Europe,Detected trafficking victims,by form of exploitation,Sexual exploitation,Male,18 years or over,2018,Counts,3,GLOTIP
ALB,Albania,Europe,Southern Europe,Detected trafficking victims,by form of exploitation,Forced labour,Female,0 to 17 years,2019,Counts,8,GLOTIP
ALB,Albania,Europe,Southern Europe,Detected trafficking victims,by form of exploitation,Forced labour,Female,18 years or over,2019,Counts,3,GLOTIP
ALB,Albania,Europe,Southern Europe,Detected trafficking victims,by form of exploitation,Forced labour,Male,0 to 17 years,2019,Counts,3,GLOTIP
ALB,Albania,Europe,Southern Europe,Detected trafficking victims,by form of exploitation,Forced labour,Male,18 years or over,2019,Counts,3,GLOTIP
ALB,Albania,Europe,Southern Europe,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,0 to 17 years,2019,Counts,33,GLOTIP
ALB,Albania,Europe,Southern Europe,Detected trafficking victims,by form of exploitation,Sexual exploitation,Female,18 years or over,2019,Counts,31,GLOTIP
ALB,Albania,Europe,Southern Europe,Detected trafficking victims,by form of exploitation,Sexual exploitation,Male,0 to 17 years,2019,Counts,3,GLOTIP
